"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.171416669e-3,-3.953765017e0,-1.840646769e0,-3.355282030e0,5.502559027e0
1.114341667e-2,-2.883920727e0,2.283513129e-2,-2.874973025e0,4.072221765e0
2.111641667e-2,-1.936204891e0,1.476403241e0,-2.397450804e0,3.417078616e0
3.108841667e-2,-1.043470132e0,2.036575271e0,-2.024107254e0,3.055074291e0
4.106041667e-2,-1.578483640e-1,8.030098200e-1,-2.022307481e0,2.181620596e0
5.103341667e-2,8.776145907e-1,-2.575251768e0,-1.210941989e0,2.978004288e0
6.100541667e-2,2.041690123e0,-5.531892854e0,1.640974295e0,6.120713500e0
7.097741667e-2,3.422857717e0,-7.154204591e0,5.298800619e0,9.538128028e0
8.094941667e-2,4.660343142e0,-7.702881580e0,7.313299727e0,1.159903167e1
9.092241667e-2,5.000949885e0,-7.437416820e0,6.692097384e0,1.118520613e1
1.008944167e-1,4.266185258e0,-6.795746883e0,4.342321268e0,9.123500772e0
1.108664167e-1,2.257278719e0,-5.673567966e0,1.877995859e0,6.388391748e0
1.208394167e-1,-1.873325104e-1,-4.229010415e0,-6.675450361e-1,4.285468345e0
1.308114167e-1,-1.679777003e0,-3.181246673e0,-1.776262493e0,4.012117847e0
1.407834167e-1,-2.370107177e0,-2.886545835e0,-1.037802426e0,3.876414420e0
1.507554167e-1,-1.905977125e0,-2.555363633e0,1.471838905e0,3.511259298e0
1.607284167e-1,-3.331587066e-1,-2.141319954e0,4.119390324e0,4.654634520e0
1.707004167e-1,1.691035817e0,-1.031808445e0,8.737488502e0,8.959237475e0
1.806724167e-1,2.973129357e0,1.256162601e0,1.011826053e1,1.062057620e1
1.906454167e-1,3.937472628e0,3.170356818e0,1.474683429e0,5.265884946e0
2.006174167e-1,4.842870118e0,1.104867650e0,-3.135120327e0,5.873934199e0
2.105894167e-1,4.536218448e0,4.349761266e-1,-4.260526030e0,6.238474500e0
2.205624167e-1,3.074513645e0,2.007014088e0,1.485540685e-1,3.674616717e0
2.305344167e-1,1.959349048e0,3.967083220e0,2.484603845e0,5.074451127e0
2.405064167e-1,1.422611050e0,6.334520851e0,5.714710729e0,8.649155758e0
2.504784167e-1,4.652645209e-1,7.347735150e0,5.660463771e0,9.286901152e0
2.604514167e-1,3.723482077e-1,6.883247541e0,4.913085530e0,8.464995530e0
2.704234167e-1,1.278687391e0,6.492673416e0,6.144989787e0,9.030545333e0
2.803954167e-1,2.315095987e0,6.343012762e0,6.463402839e0,9.347141627e0
2.903684167e-1,3.410105524e0,5.942087896e0,6.060507461e0,9.146965559e0
3.003404167e-1,4.422074951e0,5.573358384e0,5.676177578e0,9.101431890e0
3.103124167e-1,4.981132502e0,5.694070643e0,5.278799633e0,9.224957834e0
3.202854167e-1,5.069027263e0,6.152287697e0,4.933994004e0,9.374965500e0
3.302574167e-1,4.755361858e0,6.665497815e0,4.725024164e0,9.453474540e0
3.402294167e-1,4.172026960e0,6.870019970e0,4.492957823e0,9.208129741e0
3.502014167e-1,3.556519804e0,6.732858909e0,4.330075152e0,8.759553243e0
3.601744167e-1,3.015001561e0,6.417974651e0,4.038480062e0,8.160266800e0
3.701464167e-1,2.446408371e0,5.780450390e0,3.106250285e0,7.003378575e0
3.801184167e-1,1.924889359e0,4.600048993e0,1.570107211e0,5.227895029e0
3.900914167e-1,1.643803470e0,3.131454123e0,6.344395629e-1,3.593133498e0
4.000634167e-1,1.334543650e0,1.509296753e0,-7.020926519e-1,2.133522330e0
4.100354167e-1,5.303801742e-1,-3.314763165e-1,-3.929157010e0,3.978624698e0
4.200074167e-1,-1.299934565e0,-2.991312736e0,-9.709382282e0,1.024255271e1
4.299804167e-1,-5.566259279e0,-6.610312963e0,-1.252717772e1,1.521872733e1
4.399561667e-1,-1.008574650e1,-1.087910959e1,-8.792510802e0,1.724487037e1
4.499281667e-1,-1.230570157e1,-1.590583341e1,-7.745051115e0,2.155021217e1
4.599011667e-1,-1.317900311e1,-1.924101389e1,-1.133260794e1,2.592934131e1
4.698731667e-1,-1.217179916e1,-1.875109206e1,-1.386877692e1,2.630777682e1
4.798451667e-1,-9.346653768e0,-1.404235970e1,-1.275886429e1,2.115032909e1
4.898181667e-1,-3.879707400e0,-6.802127364e0,-8.101021417e0,1.126710319e1
4.997901667e-1,1.271946283e0,-1.094999304e0,-2.125615941e0,2.708341550e0
5.097621667e-1,4.257520854e0,3.626049045e0,2.758300023e0,6.235618215e0
5.197341667e-1,6.437859278e0,7.512010335e0,5.568046188e0,1.135250940e1
5.297071667e-1,8.163849750e0,9.280585493e0,9.544880226e0,1.561673616e1
5.396791667e-1,9.340545766e0,8.777277051e0,1.373228770e1,1.878462438e1
5.496511667e-1,1.028227025e1,6.476101822e0,1.276740005e1,1.762587531e1
5.596241667e-1,1.090404445e1,3.197634079e0,7.801938676e0,1.378380558e1
5.695961667e-1,1.155789414e1,5.194467580e-1,2.173548052e0,1.177196046e1
5.795681667e-1,1.383183889e1,-2.208862896e0,-8.405385364e0,1.633552403e1
5.895401667e-1,1.237121260e1,-6.871205201e0,-9.826614279e0,1.722854348e1
5.995131667e-1,6.427502689e0,-9.779718440e0,5.749137965e0,1.303872198e1
6.094851667e-1,3.268758441e0,-1.020125006e1,6.906165118e0,1.274540706e1
6.194571667e-1,-6.028272492e-1,-8.722836549e0,4.148414733e0,9.677841854e0
6.294301667e-1,-3.404861741e0,-4.674723199e0,4.101698989e0,7.090137873e0
6.394021667e-1,-4.256670961e0,-2.205177981e-1,4.774113586e0,6.400002836e0
6.493741667e-1,-4.281117877e0,3.508719985e0,5.257630373e0,7.634249364e0
6.593471667e-1,-3.621064586e0,5.737867457e0,4.846139588e0,8.337883461e0
6.693191667e-1,-1.711403277e0,6.157012247e0,4.453601968e0,7.789240751e0
6.792911667e-1,8.272190470e-1,4.789728575e0,4.982506013e0,6.960686557e0
6.892631667e-1,2.432615520e0,3.059448001e0,6.107250688e0,7.250955200e0
6.992361667e-1,3.550514129e0,1.363702837e0,6.502514280e0,7.533161884e0
7.092081667e-1,4.040134825e0,-5.165898085e-2,5.036432544e0,6.456857658e0
7.191801667e-1,3.736240409e0,-8.120145321e-1,2.380449439e0,4.503931563e0
7.291531667e-1,2.455283275e0,-1.031893229e0,-6.353701472e-2,2.664067670e0
7.391251667e-1,5.877670144e-1,-8.439771670e-1,-1.372685330e0,1.715235417e0
7.490971667e-1,-7.614030068e-1,-3.826032007e-1,-1.435265155e0,1.669163208e0
7.590691667e-1,-1.543269368e0,-8.258022666e-3,-4.705219352e-1,1.613424752e0
7.690421667e-1,-2.204493710e0,1.939275849e-1,1.019108219e0,2.436387077e0
7.790141667e-1,-2.506052017e0,1.320026475e-1,2.468000384e0,3.519765234e0
7.889861667e-1,-2.489173444e0,2.791618627e-1,3.656877905e0,4.432456632e0
7.989591667e-1,-2.224690724e0,6.575948292e-1,4.091771001e0,4.703644300e0
8.089311667e-1,-1.784264408e0,1.094582398e0,3.407232202e0,3.998867513e0
8.189031667e-1,-1.140027835e0,1.361669760e0,1.994128287e0,2.670272575e0
8.288761667e-1,-2.976278814e-1,1.364165352e0,4.554213546e-1,1.468651788e0
8.388481667e-1,5.812341397e-1,1.274909944e0,-8.889826012e-1,1.659372940e0
8.488201667e-1,1.413883934e0,1.274473742e0,-1.757417502e0,2.590727190e0
8.587921667e-1,2.052136174e0,1.366559787e0,-1.942118034e0,3.138561930e0
8.687651667e-1,2.435075151e0,1.409361405e0,-1.335066683e0,3.114208344e0
8.787371667e-1,2.477361192e0,1.169059553e0,-2.324247757e-1,2.749188969e0
8.887091667e-1,2.029552765e0,7.373221993e-1,4.183367050e-1,2.199484952e0
8.986821667e-1,1.055593895e0,1.802836919e-1,1.284150884e-2,1.070955454e0
9.086541667e-1,-3.622738937e-1,-7.519022316e-1,-1.419886101e0,1.647020304e0
9.186261667e-1,-1.671285384e0,-1.533578485e0,-2.699552463e0,3.525995080e0
9.285991667e-1,-2.791757206e0,-1.961704599e0,-3.145102694e0,4.640459480e0
9.385711667e-1,-3.789091052e0,-1.886761420e0,-3.006502048e0,5.191929721e0
9.485431667e-1,-4.327964600e0,-1.582523773e0,-2.364180877e0,5.179286658e0
9.585151667e-1,-4.428472097e0,-1.492408240e0,-1.670788955e0,4.962880535e0
9.684881667e-1,-4.263640842e0,-1.722718955e0,-1.169858868e0,4.744993530e0
9.784601667e-1,-3.966507562e0,-2.150600654e0,-1.055327847e0,4.633787034e0
9.884321667e-1,-3.720770723e0,-2.242562154e0,-1.329542380e0,4.543226026e0
9.984051667e-1,-3.482380910e0,-1.870598547e0,-2.119184442e0,4.485204391e0
1.008377167e0,-3.139467440e0,-1.550487463e0,-3.128296334e0,4.695370607e0
1.018349167e0,-2.727928708e0,-1.392443072e0,-3.904929657e0,4.962758141e0
1.028322167e0,-2.618084669e0,-1.114610281e0,-3.663424448e0,4.638685384e0
1.038294167e0,-3.277798821e0,-1.008761644e0,-2.352515097e0,4.158833064e0
1.048266167e0,-4.591996207e0,-1.392744788e0,-1.356185072e0,4.986522351e0
1.058238167e0,-6.242928311e0,-2.234128715e0,-1.153417667e0,6.730219708e0
1.068211167e0,-7.873606244e0,-3.659398640e0,-1.128123196e0,8.755428923e0
1.078183167e0,-9.262210034e0,-4.959624104e0,-1.057807358e0,1.055960995e1
1.088155167e0,-1.018623324e1,-5.463475753e0,-1.157072176e0,1.161670052e1
1.098128167e0,-1.055906692e1,-5.513885769e0,-1.564854803e0,1.201439141e1
1.108100167e0,-1.026061684e1,-5.572326350e0,-1.984585923e0,1.184354931e1
1.118072167e0,-9.339171671e0,-5.516083737e0,-2.623901479e0,1.115939811e1
1.128044167e0,-8.022942962e0,-5.037619529e0,-3.252044175e0,1.001603792e1
1.138017167e0,-6.458667179e0,-4.247287642e0,-3.904189984e0,8.660053896e0
1.147989167e0,-4.663013857e0,-3.141392051e0,-4.565718235e0,7.242777455e0
