"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.776583366E-3,1.324595490E0,-1.241368561E1,2.209255829E0,1.267812900E1
1.283358334E-2,1.903142395E0,-1.332394272E1,2.480192413E0,1.368578660E1
2.289058338E-2,2.500699768E0,-1.380070129E1,2.897374878E0,1.432157941E1
3.294658335E-2,3.156486053E0,-1.385893021E1,3.356170807E0,1.460469901E1
4.300358333E-2,3.844904480E0,-1.340387650E1,3.700604553E0,1.442711578E1
5.306058336E-2,4.426594849E0,-1.266965332E1,3.838916931E0,1.395894482E1
6.311758334E-2,4.804558868E0,-1.213391739E1,3.733087006E0,1.357393369E1
7.317458338E-2,4.941823425E0,-1.239317825E1,3.413651276E0,1.377190985E1
8.323158335E-2,4.765639801E0,-1.342483292E1,3.195105743E0,1.459952610E1
9.328858333E-2,4.748724976E0,-1.427476547E1,3.222349091E0,1.538515037E1
1.033455834E-1,4.933440857E0,-1.400981644E1,3.316802673E0,1.521890191E1
1.134025833E-1,4.922513580E0,-1.275063492E1,3.379522247E0,1.407945316E1
1.234585834E-1,4.528383179E0,-1.148157394E1,3.196602631E0,1.274955148E1
1.335155834E-1,3.945495300E0,-1.062550415E1,2.713856506E0,1.165475391E1
1.435725833E-1,3.442690887E0,-1.004875351E1,2.033371582E0,1.081499735E1
1.536295834E-1,3.046614532E0,-9.648785248E0,1.473086700E0,1.022501351E1
1.636865833E-1,2.849324799E0,-9.607321472E0,1.096320190E0,1.008073388E1
1.737435834E-1,2.803819427E0,-1.003483246E1,1.120569763E0,1.047926250E1
1.838005834E-1,2.915786591E0,-1.072205338E1,1.542991333E0,1.121806856E1
1.938575833E-1,3.385659485E0,-1.162841858E1,1.876647491E0,1.225579922E1
2.039145834E-1,4.058809662E0,-1.322499847E1,2.894830170E0,1.413345542E1
2.139715833E-1,5.666915588E0,-1.581805618E1,3.541485443E0,1.717169045E1
2.240285833E-1,5.906267853E0,-1.487292160E1,-3.933819580E-1,1.600757778E1
2.340845834E-1,4.957391052E0,-1.220666611E1,-2.779120789E0,1.346484073E1
2.441415833E-1,4.368665314E0,-1.017988083E1,-3.608396301E0,1.165056798E1
2.541985834E-1,3.647764435E0,-9.222022705E0,-4.638105011E0,1.094823759E1
2.642555833E-1,2.695594482E0,-8.884624329E0,-4.480033722E0,1.030890301E1
2.743125834E-1,1.739532623E0,-8.274044037E0,-3.862268372E0,9.295315780E0
2.843695834E-1,8.544232178E-1,-7.758815460E0,-3.197201385E0,8.435126145E0
2.944265833E-1,2.874023438E-2,-7.351362762E0,-2.482886810E0,7.759387049E0
3.044835834E-1,-4.671784973E-1,-6.737040253E0,-1.964215393E0,7.033072531E0
3.145405833E-1,-8.527766418E-1,-6.580465851E0,-1.703008575E0,6.850547206E0
3.245975833E-1,-1.141675873E0,-6.247109070E0,-1.795366516E0,6.599480014E0
3.346535834E-1,-1.288819885E0,-5.824088745E0,-1.977687378E0,6.284291032E0
3.447105833E-1,-1.415606232E0,-5.552703094E0,-2.353106689E0,6.194639921E0
3.547675834E-1,-1.417701874E0,-5.208419037E0,-2.167193298E0,5.816720232E0
3.648245833E-1,-1.337169342E0,-5.078040161E0,-1.728156281E0,5.528203855E0
3.748815834E-1,-1.226399689E0,-5.070256348E0,-1.323098602E0,5.381648961E0
3.849385834E-1,-1.164278870E0,-5.173092499E0,-1.136736145E0,5.422969698E0
3.949955833E-1,-1.124162292E0,-5.113666077E0,-1.038540344E0,5.337779281E0
4.050525834E-1,-1.172960815E0,-5.121000824E0,-7.990383911E-1,5.314033201E0
4.151095834E-1,-1.239422607E0,-5.071004791E0,-5.510041809E-1,5.249272673E0
4.251665833E-1,-1.294657745E0,-5.180726624E0,-3.740721130E-1,5.353129643E0
4.352225834E-1,-1.401236115E0,-5.410947876E0,-1.585203552E-1,5.591685637E0
