"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.913749919E-4,2.634239649E0,-1.393766589E0,-3.948437619E-1,3.006277670E0
1.053837498E-2,2.523541916E0,-1.741848121E0,-2.818226382E-1,3.079240601E0
2.048637500E-2,2.359380167E0,-2.018467322E0,-1.027373332E-1,3.106676691E0
3.043337498E-2,2.103606582E0,-2.121294410E0,1.614758304E-1,2.991843089E0
4.038137500E-2,1.766599385E0,-2.192543609E0,4.778987825E-1,2.855960103E0
5.032937499E-2,1.484292889E0,-2.218449114E0,7.870656323E-1,2.782824853E0
6.027637498E-2,1.285505099E0,-2.306518706E0,1.033937416E0,2.835767706E0
7.022437500E-2,1.080657839E0,-2.403218205E0,1.223488652E0,2.905202848E0
8.017137498E-2,9.099407762E-1,-2.452356743E0,1.325909651E0,2.932589677E0
9.011937497E-2,7.706817341E-1,-2.441211073E0,1.318725177E0,2.879669761E0
1.000673750E-1,5.948887038E-1,-2.422239782E0,1.228326639E0,2.780274170E0
1.100143750E-1,4.310807115E-1,-2.413261675E0,1.143745787E0,2.705146376E0
1.199623750E-1,2.846073747E-1,-2.445800553E0,1.070786569E0,2.685055973E0
1.299093750E-1,9.836712420E-2,-2.499912148E0,1.101066375E0,2.733419836E0
1.398573750E-1,-9.656618178E-2,-2.589432143E0,1.110398824E0,2.819125644E0
1.498053750E-1,-3.278972358E-1,-2.637397437E0,1.102463275E0,2.877291628E0
1.597523750E-1,-6.382996023E-1,-2.630117946E0,1.089628344E0,2.917573773E0
1.697003750E-1,-1.016588143E0,-2.584937096E0,1.063089879E0,2.974140436E0
1.796473750E-1,-1.288633944E0,-2.552307878E0,9.940105811E-1,3.027029894E0
1.895953750E-1,-1.452123848E0,-2.418831440E0,9.825399520E-1,2.987439365E0
1.995423750E-1,-1.581622717E0,-2.108792185E0,1.083131211E0,2.849861071E0
2.094903750E-1,-1.620618383E0,-1.628481427E0,1.088058952E0,2.542091262E0
2.194383750E-1,-1.752425149E0,-1.157949551E0,9.441712537E-1,2.302889581E0
2.293853750E-1,-1.885862119E0,-7.831915596E-1,6.644217458E-1,2.147398707E0
2.393333750E-1,-2.080469735E0,-6.478723714E-1,3.749268298E-1,2.211032124E0
2.492803750E-1,-2.277967629E0,-8.864729762E-1,1.011960071E-1,2.446469188E0
2.592283750E-1,-2.335365068E0,-1.244352980E0,-3.517538756E-2,2.646428092E0
2.691763750E-1,-2.765221957E0,-7.163780576E-1,3.391212586E-1,2.876569697E0
2.791233750E-1,-3.141054667E0,1.396022737E-2,7.033346736E-1,3.218866100E0
2.890713750E-1,-3.605293769E0,2.112929383E-1,7.656925973E-1,3.691757443E0
2.990183750E-1,-3.625044494E0,7.149960682E-1,8.723003487E-1,3.796455565E0
3.089663750E-1,-3.032945496E0,1.783196414E0,8.655609941E-1,3.623222829E0
3.189143750E-1,-2.380562875E0,3.310079837E0,8.131494766E-1,4.157513704E0
3.288613750E-1,-1.732890771E0,4.704190535E0,5.320048231E-1,5.041363719E0
3.388093750E-1,-1.184457611E0,5.751167534E0,2.324355930E-2,5.871916902E0
3.487563750E-1,-7.312486964E-1,6.887390293E0,-2.751819554E-1,6.931565106E0
3.587043750E-1,-7.083504152E-1,7.755649193E0,-4.582229018E-1,7.801398781E0
3.686523750E-1,-9.371712595E-1,7.910061294E0,-9.885282317E-1,8.026490374E0
3.785993750E-1,-1.565538781E0,5.531895778E0,-1.942340959E0,6.068399375E0
3.885473750E-1,-2.397430923E0,2.740901633E0,-1.892917954E0,4.104065688E0
