"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.297833282E-3,3.085233638E-1,-6.658867657E-2,1.273009014E-1,3.403325393E-1
1.135483332E-2,2.777547303E-1,-7.403744459E-2,1.650318146E-1,3.314584940E-1
2.141283330E-2,2.149160193E-1,-2.931618512E-2,1.811841814E-1,2.826234980E-1
3.146983328E-2,1.663246340E-1,9.790577888E-3,1.958992660E-1,2.571697138E-1
4.152683332E-2,1.226475410E-1,3.030962706E-2,2.355959765E-1,2.673322969E-1
5.158383329E-2,6.416749075E-2,4.582872212E-2,2.744589106E-1,2.855616085E-1
6.164183328E-2,3.716841102E-2,6.128349781E-2,2.970748079E-1,3.055987555E-1
7.169883332E-2,-6.156094819E-3,5.447909296E-2,3.194977470E-1,3.241676718E-1
8.175583329E-2,-3.554507777E-2,2.797600329E-2,3.225148737E-1,3.256715417E-1
9.181283333E-2,-4.811644524E-2,-1.623479426E-2,3.125150386E-1,3.166139767E-1
1.018698333E-1,-5.423774913E-2,-3.501429677E-2,2.849979687E-1,2.922183714E-1
1.119278333E-1,-8.065883160E-2,-2.144407868E-2,2.413075733E-1,2.553331952E-1
1.219848333E-1,-1.056344824E-1,3.940438628E-3,2.038585325E-1,2.296355203E-1
1.320418333E-1,-1.046832865E-1,-1.726390421E-2,1.708579803E-1,2.011195721E-1
1.420988333E-1,-9.029343501E-2,-7.100858688E-2,1.605305914E-1,1.973960349E-1
1.521568333E-1,-6.502849326E-2,-8.538864434E-2,1.541466379E-1,1.878326689E-1
1.622138333E-1,-1.150615096E-2,-1.473147511E-2,1.693657343E-1,1.703941308E-1
1.722708333E-1,-9.241962880E-3,6.846095502E-2,1.743721203E-1,1.875578646E-1
1.823278333E-1,-2.763101757E-2,6.384867132E-2,1.744165592E-1,1.877798234E-1
1.923848333E-1,-3.047992721E-2,-6.483392715E-3,1.439607882E-1,1.472948366E-1
2.024428333E-1,-2.452219918E-2,-9.454889238E-2,9.843202829E-2,1.386711776E-1
2.124998333E-1,1.045335978E-2,-1.337796164E-1,8.082723141E-2,1.566502468E-1
2.225568333E-1,3.278314546E-2,-1.236095542E-1,8.793631274E-2,1.551993931E-1
2.326138333E-1,1.876663864E-3,-9.862557113E-2,1.035624119E-1,1.430234187E-1
2.426708333E-1,-2.281554312E-2,-8.965886593E-2,7.864040930E-2,1.214231247E-1
2.527288333E-1,-4.061008215E-2,-9.549731076E-2,7.248204868E-2,1.265802612E-1
2.627858333E-1,-9.864837527E-2,-1.128126705E-1,5.749338744E-2,1.605107167E-1
2.728428333E-1,-1.244191012E-1,-1.272892070E-1,5.565383513E-2,1.864939793E-1
2.828998333E-1,-6.888195455E-2,-1.669327444E-1,6.183664441E-2,1.908796359E-1
2.929578333E-1,-8.983282059E-2,-2.406380671E-1,9.557507873E-2,2.740642455E-1
3.030148333E-1,-7.106004238E-2,-2.701717687E-1,1.107357395E-1,3.005074345E-1
3.130718333E-1,-5.642548487E-2,-2.552409035E-1,1.031180235E-1,2.810072613E-1
3.231288333E-1,-7.448694929E-2,-2.260960418E-1,7.165998498E-2,2.486018487E-1
3.331858333E-1,-4.829493150E-2,-1.660732037E-1,3.485293189E-2,1.764296921E-1
3.432438333E-1,-8.351943567E-2,-1.223219973E-1,2.979043085E-2,1.510815572E-1
3.533008333E-1,-1.352813275E-1,-5.885865748E-2,6.965205112E-2,1.631465211E-1
3.633578333E-1,-1.406031708E-1,-2.640836477E-2,7.688032430E-2,1.624107067E-1
3.734148333E-1,-1.390179907E-1,-9.249125719E-3,4.946744442E-2,1.478464613E-1
3.834728333E-1,-1.592554964E-1,-3.585804999E-2,5.395828877E-3,1.633316499E-1
3.935298333E-1,-1.409911336E-1,-3.196380436E-2,-1.171544474E-2,1.450428771E-1
4.035868333E-1,-9.996268317E-2,-6.343995094E-2,-8.815244045E-3,1.187218343E-1
4.136438333E-1,-6.519177675E-2,-7.530687511E-2,-1.444028378E-2,1.006459884E-1
4.237008333E-1,-3.038286343E-2,-7.142081559E-2,1.508599911E-3,7.762942202E-2
4.337588333E-1,6.522276700E-3,-7.649385989E-2,1.537936488E-2,7.829671486E-2
4.438158333E-1,9.660038799E-3,-5.619057298E-2,2.830054203E-2,6.365231748E-2
4.538728333E-1,3.087783024E-2,-3.594166517E-2,1.722472787E-2,5.041760551E-2
4.639298333E-1,5.147713244E-2,-3.214389861E-2,6.969881058E-3,6.108767980E-2
4.739878333E-1,4.334994122E-2,-3.108496785E-2,5.005399324E-4,5.334550750E-2
4.840448333E-1,2.230142668E-2,-3.484121919E-2,6.034326553E-3,4.180523033E-2
4.941018333E-1,1.093590125E-2,-2.767019391E-2,1.833100280E-2,3.494651958E-2
5.041588333E-1,-2.542427838E-2,-1.510043442E-2,4.486800632E-2,5.373597530E-2
5.142158333E-1,-4.681222379E-2,2.561782122E-2,7.933736086E-2,9.561419292E-2
5.242738333E-1,-2.860472515E-2,9.258247375E-2,1.102013222E-1,1.467449358E-1
5.343308333E-1,1.642746001E-2,1.035196906E-1,1.321307015E-1,1.686555961E-1
5.443878333E-1,2.615240291E-2,7.961393416E-2,1.648435342E-1,1.849208411E-1
5.544448333E-1,2.672060609E-2,8.443145514E-2,2.183303730E-1,2.356073283E-1
5.645018333E-1,-4.904352129E-4,1.395841473E-1,2.704992310E-1,3.043908814E-1
5.745598333E-1,-1.622061476E-2,2.137256724E-1,2.987552977E-1,3.676907658E-1
5.846168333E-1,-6.954108194E-2,2.882045817E-1,3.143849051E-1,4.321292765E-1
5.946738333E-1,-1.416894373E-1,3.528993452E-1,3.230797148E-1,4.989933332E-1
6.047308333E-1,-2.028776255E-1,4.428950107E-1,3.229780098E-1,5.844913312E-1
6.147888333E-1,-2.478620097E-1,5.475069612E-1,3.371188796E-1,6.890925826E-1
6.248458333E-1,-2.816266103E-1,6.616276538E-1,3.419147293E-1,7.962225707E-1
6.349028333E-1,-3.342724550E-1,8.151503938E-1,3.475046675E-1,9.470838044E-1
6.449598333E-1,-3.962102562E-1,1.020522149E0,3.732698750E-1,1.156623717E0
6.550168333E-1,-4.444977325E-1,1.209627535E0,3.962447913E-1,1.348253293E0
6.650748333E-1,-5.051140630E-1,1.344573671E0,3.848239732E-1,1.486979510E0
6.751318333E-1,-5.500632177E-1,1.548080750E0,3.768460687E-1,1.685567118E0
6.851888333E-1,-6.060761815E-1,1.957610378E0,3.916734381E-1,2.086378396E0
6.952458333E-1,-6.560783538E-1,2.458732547E0,3.933351803E-1,2.574979050E0
7.053038333E-1,-6.957813866E-1,3.027708145E0,3.351705873E-1,3.124654809E0
7.153608333E-1,-7.262896729E-1,3.615353903E0,2.345798035E-1,3.695038324E0
7.254178333E-1,-7.203920250E-1,4.186307030E0,1.740739854E-1,4.251403647E0
7.354748333E-1,-7.486333457E-1,4.783317103E0,1.131506761E-1,4.842868724E0
7.455318333E-1,-7.805823858E-1,5.243951397E0,-3.385501318E-3,5.301730527E0
7.555898333E-1,-7.653793328E-1,5.402491633E0,-2.438136899E-1,5.461883053E0
7.656468333E-1,-6.380037332E-1,5.122455027E0,-9.919391318E-1,5.256475768E0
7.757038333E-1,-2.699351026E-1,4.549671721E0,-1.803350304E0,4.901474273E0
7.857608333E-1,9.412496924E-2,4.764086781E0,-1.685491487E0,5.054331203E0
7.958178333E-1,4.200747898E-1,4.699924114E0,-1.569610198E0,4.972868958E0
8.058758333E-1,6.246910849E-1,3.858347813E0,-1.328714414E0,4.128264623E0
8.159328333E-1,5.979117143E-1,2.582231004E0,-1.193742770E0,2.906963567E0
8.259898333E-1,3.234176838E-1,1.116909991E0,-9.620587635E-1,1.509186533E0
8.360468333E-1,6.470207244E-2,-3.782224667E-1,-2.967988193E-1,4.851063096E-1
8.461048333E-1,1.263361108E-1,-1.812235733E0,1.658024776E-1,1.824184647E0
8.561618333E-1,2.589056459E-1,-3.119783666E0,4.038133907E-1,3.156445391E0
8.662188333E-1,3.738506497E-1,-4.195136910E0,5.665286116E-1,4.249693244E0
8.762758333E-1,5.169087741E-1,-5.226765845E0,6.230255055E-1,5.289086562E0
8.863328333E-1,7.236071165E-1,-6.025586720E0,7.705121648E-1,6.117596879E0
8.963908333E-1,1.071059342E0,-6.616851904E0,1.052474259E0,6.785101274E0
9.064478333E-1,1.489192271E0,-7.338600630E0,1.401798763E0,7.618253907E0
9.165088333E-1,1.909982906E0,-8.081080658E0,1.667920604E0,8.469584313E0
9.265658333E-1,2.293087798E0,-8.744110474E0,1.739965317E0,9.205715558E0
9.366238333E-1,2.646758245E0,-9.322909395E0,1.638064867E0,9.828795719E0
9.466808333E-1,2.985320217E0,-1.006124784E1,1.387214491E0,1.058608563E1
9.567378333E-1,3.271700760E0,-1.096927833E1,1.200640438E0,1.150958863E1
9.667948333E-1,3.596844542E0,-1.189492531E1,1.069327104E0,1.247277031E1
9.768518333E-1,3.961181626E0,-1.290116564E1,9.399877902E-1,1.352828931E1
9.869098333E-1,4.379035058E0,-1.414975902E1,8.786458202E-1,1.483791248E1
9.969668333E-1,4.791200904E0,-1.534525149E1,1.067083089E0,1.611120777E1
1.007023833E0,5.098832275E0,-1.589114755E1,1.378599204E0,1.674596061E1
1.017080833E0,5.044031001E0,-1.536700431E1,1.533681396E0,1.624620721E1
1.027138833E0,4.489766412E0,-1.350313181E1,1.610465863E0,1.432082998E1
1.037195833E0,3.679084753E0,-1.115088583E1,1.520863130E0,1.184022568E1
1.047252833E0,2.950915200E0,-8.768306252E0,1.227432307E0,9.332614056E0
1.057309833E0,2.210631679E0,-6.389225062E0,1.162800694E0,6.860116235E0
1.067366833E0,1.411314522E0,-3.858512120E0,1.179406786E0,4.274450237E0
1.077424833E0,6.110435374E-1,-1.025643725E0,9.871614450E-1,1.549131039E0
1.087481833E0,-1.339111787E-1,1.691674917E0,9.627300239E-1,1.951036988E0
1.097538833E0,-8.756160124E-1,4.362573100E0,1.182408162E0,4.604002228E0
1.107595833E0,-1.595039008E0,6.712821085E0,2.184236178E0,7.237195869E0
1.117652833E0,-2.281180090E0,8.460148632E0,3.384390639E0,9.393188887E0
1.127710833E0,-2.801904172E0,9.868830006E0,4.085818536E0,1.104257152E1
1.137767833E0,-2.933637263E0,1.086720700E1,3.063157475E0,1.166556253E1
1.147824833E0,-2.780878462E0,1.127418256E1,1.391637325E0,1.169517558E1
1.157881833E0,-2.649374582E0,1.129393796E1,4.163603461E-1,1.160799622E1
1.167938833E0,-2.579907321E0,1.118700174E1,-1.759310428E-1,1.148198073E1
1.177996833E0,-2.527444640E0,1.105112882E1,-5.505744106E-1,1.134982629E1
1.188053833E0,-2.570776309E0,1.094227004E1,-6.257508928E-1,1.125760759E1
1.198110833E0,-2.752151968E0,1.094345703E1,-5.900682592E-1,1.129963595E1
1.208167833E0,-3.049563283E0,1.108419015E1,-4.418799341E-1,1.150453673E1
1.218225833E0,-3.196797343E0,1.105066689E1,-2.749600536E-1,1.150705675E1
1.228282833E0,-2.969328960E0,1.072248022E1,-3.552183509E-1,1.113169694E1
1.238339833E0,-2.723996748E0,1.057073796E1,-7.061635566E-1,1.093889054E1
1.248396833E0,-2.524276619E0,1.106274256E1,-3.437559371E0,1.185635104E1
1.258453833E0,-2.205383072E0,1.176688766E1,-1.115442457E1,1.636290155E1
1.268511833E0,-1.709130026E0,1.091476123E1,-1.289491730E1,1.698034247E1
1.278568833E0,-1.768174186E0,9.572647483E0,-7.287476084E0,1.216015327E1
1.288625833E0,-1.746215845E0,8.583559381E0,-3.041088914E0,9.272269582E0
1.298682833E0,-1.822141794E0,8.096840658E0,-4.942364877E-1,8.314042282E0
