"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.144758333e-2,-1.041244243e0,-3.474243633e0,-6.061165858e0,7.063447455e0
2.141858335e-2,-5.760953142e-1,-3.276858004e0,-6.748376250e0,7.523979412e0
3.138958331e-2,6.643854931e-2,-3.201790865e0,-7.306118177e0,7.977170027e0
4.135958332e-2,4.949805459e-1,-2.798753107e0,-7.806287835e0,8.307596190e0
5.133058334e-2,-2.468217169e-1,-1.709587570e0,-7.957726042e0,8.143034716e0
6.130158331e-2,2.681840077e-1,-2.176647369e0,-7.775924413e0,8.079277004e0
7.127158332e-2,5.337414461e-1,-2.758585660e0,-7.635231634e0,8.135811998e0
8.124258334e-2,2.587743759e-2,-2.381892532e0,-6.856860811e0,7.258830612e0
9.121358331e-2,-8.027224293e-1,-1.522043683e0,-5.377517590e0,5.646120412e0
1.011835833e-1,-1.186572695e0,-3.453160912e-1,-4.020133254e0,4.205789978e0
1.111545833e-1,-8.818746527e-1,7.975379956e-1,-3.022175510e0,3.247662940e0
1.211255833e-1,4.647470789e-1,1.232255090e0,-2.095179575e0,2.474716127e0
1.310955833e-1,2.156066339e0,1.169763558e0,-6.472318089e-1,2.536903202e0
1.410665833e-1,3.235329909e0,1.447527936e0,1.540812660e0,3.864815701e0
1.510375833e-1,3.320648972e0,2.279001417e0,4.044055967e0,5.707446515e0
1.610075833e-1,3.083468071e0,2.108239039e0,6.133460248e0,7.181349581e0
1.709785833e-1,2.059823655e0,1.474426298e0,8.514109662e0,8.882953885e0
1.809485834e-1,2.984753622e-1,2.350276929e0,1.238261350e1,1.260722041e1
1.909195833e-1,-7.668895224e-1,3.817755565e0,1.746399243e1,1.789285915e1
2.008905833e-1,-1.487267075e-1,4.229054269e0,2.257565992e1,2.296883629e1
2.108605833e-1,1.642400139e0,4.166714764e0,2.658951151e1,2.696407077e1
2.208315833e-1,3.256920461e0,4.180410113e0,2.816760251e1,2.866177229e1
2.308025833e-1,3.509564031e0,4.451278285e0,2.772599506e1,2.829950035e1
2.407725833e-1,2.732768156e0,5.466518644e0,2.642201919e1,2.711962290e1
2.507435833e-1,2.099170007e0,5.920271350e0,2.518759478e1,2.595902653e1
2.607145833e-1,2.148330473e0,5.321441622e0,2.414456612e1,2.481719440e1
2.706845833e-1,2.484483393e0,4.960364946e0,2.311211389e1,2.376862820e1
2.806555833e-1,2.815560344e0,4.748510967e0,2.115414099e1,2.186260317e1
2.906265833e-1,3.120246765e0,4.299393935e0,1.796078941e1,1.872994085e1
3.005965833e-1,3.449082479e0,4.372724451e0,1.329581878e1,1.441512005e1
3.105675833e-1,3.959379514e0,4.405113348e0,8.164829158e0,1.008692941e1
3.205385833e-1,4.606165765e0,3.894299127e0,3.709138564e0,7.080963044e0
3.305085833e-1,4.626717266e0,3.102101393e0,6.316682750e-1,5.606117241e0
3.404795833e-1,3.343800730e0,2.173434616e0,-8.006820434e-1,4.067666787e0
3.504495833e-1,1.346529272e0,9.637506554e-1,-8.669368440e-1,1.869100291e0
3.604205833e-1,-7.572669058e-1,-2.353831744e-1,-2.992137194e-1,8.475772857e-1
3.703915833e-1,-2.611008368e0,-1.018588183e0,6.329336125e-1,2.873237119e0
3.803615833e-1,-3.727963091e0,-1.257526464e0,1.285200459e0,4.138939699e0
3.903325833e-1,-3.824123476e0,-1.508897973e0,9.855961454e-1,4.227539853e0
4.003035833e-1,-2.929993570e0,-1.870379276e0,-3.106397635e-1,3.489939544e0
4.102735833e-1,-1.399238413e0,-2.310772848e0,-2.353683810e0,3.582927123e0
4.202445833e-1,9.142837957e-2,-2.808486675e0,-4.530734929e0,5.331370888e0
4.302155833e-1,1.173406008e0,-3.494962949e0,-6.739739327e0,7.682169868e0
4.401855833e-1,1.764196179e0,-4.042309696e0,-8.995019760e0,1.001813537e1
4.501565833e-1,1.717521072e0,-4.233290285e0,-1.067514233e1,1.161160149e1
4.601275834e-1,1.096377128e0,-4.257680775e0,-1.169955580e1,1.249837967e1
4.700975833e-1,2.896517676e-1,-4.404345024e0,-1.243398012e1,1.319416594e1
4.800689167e-1,-4.208283497e-1,-4.667117141e0,-1.282019690e1,1.364978123e1
4.900399167e-1,-9.962657060e-1,-4.904011821e0,-1.298261034e1,1.391366409e1
5.000099167e-1,-1.374010894e0,-4.916396223e0,-1.312117064e1,1.407920369e1
5.099809167e-1,-1.617828384e0,-4.752569812e0,-1.299678165e1,1.393271767e1
5.199519166e-1,-1.699733842e0,-4.642548895e0,-1.283664746e1,1.375579418e1
5.299219167e-1,-7.184720917e-1,-5.059652422e0,-1.292753541e1,1.390098761e1
5.398929167e-1,-5.680033524e-1,-5.178307630e0,-1.323049720e1,1.421912634e1
5.498629166e-1,-5.884567666e-1,-4.846035508e0,-1.310036858e1,1.398034329e1
5.598339167e-1,-4.574018066e-1,-4.683368307e0,-1.271293909e1,1.355588342e1
5.698049167e-1,-3.597483350e-1,-4.844659950e0,-1.241909545e1,1.333544453e1
5.797749166e-1,-6.654286364e-1,-5.141155007e0,-1.229043098e1,1.333900160e1
5.897459167e-1,-1.015362274e0,-5.285266653e0,-1.166657283e1,1.284810981e1
5.997169167e-1,-1.349545120e0,-5.501593167e0,-1.048394657e1,1.191645648e1
6.096869166e-1,-1.744245771e0,-5.712912710e0,-9.647642702e0,1.134710424e1
6.196579167e-1,-1.813896050e0,-5.939103477e0,-8.886940411e0,1.084162713e1
6.296289167e-1,-1.802353500e0,-6.018824415e0,-8.318149585e0,1.042431475e1
6.395989166e-1,-1.686506125e0,-5.880652370e0,-8.091868771e0,1.014419614e1
6.495699167e-1,-1.384883060e0,-5.766825208e0,-8.120511357e0,1.005568888e1
6.595409167e-1,-7.788390385e-1,-5.733070402e0,-8.559199296e0,1.033124286e1
6.695109166e-1,-8.256707042e-1,-5.607490336e0,-9.106702749e0,1.072649593e1
6.794819167e-1,-1.456913594e0,-5.359730360e0,-9.522173148e0,1.102366038e1
6.894529167e-1,-1.978237893e0,-5.179978180e0,-9.828570757e0,1.128478632e1
6.994229167e-1,-2.437403951e0,-5.049098783e0,-9.919455199e0,1.139429366e1
7.093939167e-1,-2.756511945e0,-4.749944412e0,-9.356323308e0,1.084901451e1
7.193649167e-1,-2.429317690e0,-4.598049245e0,-8.311670285e0,9.804463485e0
7.293349167e-1,-2.002618590e0,-3.932862976e0,-7.894567927e0,9.044451070e0
7.393059166e-1,-1.553073395e0,-2.971784205e0,-6.747184587e0,7.534456728e0
7.492769167e-1,-1.333400665e0,-2.292812541e0,-5.303487162e0,5.929748962e0
7.592469167e-1,-1.277445735e0,-9.290284270e-1,-4.625993673e0,4.888228604e0
7.692179166e-1,-1.263709895e0,4.806957981e-1,-3.771521339e0,4.006545190e0
7.791879167e-1,-1.383114424e0,1.806518618e0,-2.509582273e0,3.387405824e0
7.891589167e-1,-1.852774918e0,2.615496691e0,-9.841916442e-1,3.352943637e0
7.991299166e-1,-2.127600924e0,2.665510266e0,8.964009637e-1,3.526352982e0
8.090999167e-1,-1.530197040e0,2.259829566e0,4.363661267e0,5.146831287e0
8.190709167e-1,-6.730254851e-1,7.718105391e-1,8.864973006e0,8.923922972e0
8.290419166e-1,-5.838153930e-1,-5.505837661e-1,1.213003016e1,1.215654616e1
8.390119167e-1,-1.372921265e0,3.908822733e-1,1.572901478e1,1.579365720e1
8.489829167e-1,-1.133363910e0,1.819770455e0,1.890037615e1,1.902157451e1
8.589539166e-1,9.258235681e-1,2.195642926e0,1.939835895e1,1.954416351e1
8.689239167e-1,3.949351831e0,2.469936105e0,1.835196580e1,1.893390115e1
8.788949167e-1,7.369931180e0,3.043724838e0,1.757843530e1,1.930237120e1
8.888659166e-1,9.520159952e0,4.166822938e0,1.791267618e1,2.070893109e1
8.988359167e-1,9.855828137e0,6.054890041e0,2.048667430e1,2.352664162e1
9.088069167e-1,9.754844969e0,7.001608050e0,2.468948919e1,2.745451497e1
9.187779166e-1,9.550092434e0,7.200971206e0,2.901521489e1,3.138376885e1
9.287479167e-1,9.097894503e0,7.439935216e0,3.181238019e1,3.391388880e1
9.387189167e-1,8.823813871e0,7.026970348e0,3.130438345e1,3.327465141e1
9.486899166e-1,8.027849361e0,6.731076093e0,2.788426983e1,2.978735058e1
9.586599167e-1,6.972360277e0,6.669094437e0,2.331043975e1,2.522830216e1
9.686309167e-1,6.831327775e0,6.740997648e0,1.959966105e1,2.182326285e1
9.786019166e-1,7.287470237e0,6.662683550e0,1.688483624e1,1.956006824e1
9.885719166e-1,7.308099214e0,6.463937860e0,1.438515389e1,1.738169897e1
9.985429167e-1,6.404654109e0,5.895731170e0,1.173266625e1,1.460940442e1
1.008513917e0,4.900253230e0,4.676748382e0,9.292252443e0,1.149914834e1
1.018483917e0,3.183006100e0,2.990148848e0,7.374979666e0,8.571046788e0
1.028454917e0,1.381782867e0,1.507256659e0,6.118041725e0,6.450703921e0
1.038424917e0,-1.678669833e-1,5.491421351e-1,5.166795632e0,5.198606882e0
1.048395917e0,-1.243180174e0,-1.640988913e-1,3.747547170e0,3.951776206e0
1.058366917e0,-1.922082111e0,-7.961314479e-1,1.434850588e0,2.527255653e0
1.068336917e0,-2.278254143e0,-1.103735629e0,-1.229080637e0,2.814127483e0
1.078307917e0,-2.231483288e0,-1.482673795e0,-3.874658622e0,4.710713182e0
1.088278917e0,-2.142887592e0,-1.709317429e0,-5.982692131e0,6.580755157e0
1.098248917e0,-2.015761815e0,-2.242021871e0,-7.963071567e0,8.514720579e0
1.108219917e0,-1.526351765e0,-2.670641782e0,-9.734369774e0,1.020882129e1
1.118190917e0,-6.305217822e-1,-2.933249885e0,-1.149809350e1,1.188308321e1
1.128160917e0,2.947376758e-1,-3.219276379e0,-1.288325562e1,1.328265357e1
1.138131917e0,1.085747840e0,-3.694500060e0,-1.368549477e1,1.421692464e1
1.148102917e0,1.645078748e0,-4.162317073e0,-1.370914091e1,1.442122436e1
1.158072917e0,1.860614426e0,-4.592901356e0,-1.319202953e1,1.409206415e1
1.168043917e0,1.535199041e0,-4.819499089e0,-1.234668587e1,1.334260318e1
1.178014917e0,7.721426609e-1,-4.852490249e0,-1.148065242e1,1.248792401e1
1.187984917e0,-3.207414132e-1,-4.975458949e0,-1.072524829e1,1.182746878e1
1.197955917e0,-1.620051496e0,-5.162236558e0,-1.018024570e1,1.152868837e1
1.207926917e0,-2.838529084e0,-5.587280020e0,-9.622492658e0,1.148334926e1
1.217896917e0,-3.947695900e0,-6.231482971e0,-8.961945570e0,1.160741794e1
1.227867917e0,-4.878302490e0,-6.930353880e0,-8.133030830e0,1.174622623e1
