"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.143541689e-3,3.661864118e-1,-7.645924437e-1,-6.475919974e-1,1.066803397e0
1.311454165e-2,3.744860228e-1,-8.355992764e-1,-4.395767158e-1,1.015723201e0
2.308554167e-2,2.395932793e-1,-7.232269013e-1,-4.023129952e-1,8.615786884e-1
3.305654170e-2,2.555091445e-1,-6.760945424e-1,-2.726404631e-1,7.724775566e-1
4.302754166e-2,4.161662185e-1,-8.409904093e-1,-1.155234396e-2,9.383989805e-1
5.299854168e-2,4.306295988e-1,-6.971594292e-1,1.832610941e-1,8.396771699e-1
6.296954170e-2,5.286638702e-1,-6.920612419e-1,5.775312442e-1,1.044976836e0
7.294054166e-2,7.169231643e-1,-8.201465473e-1,1.015822742e0,1.489468034e0
8.291154169e-2,8.634724418e-1,-7.692260697e-1,1.604918025e0,1.978144401e0
9.288254171e-2,9.400080362e-1,-7.585046151e-1,2.142696388e0,2.459693512e0
1.028535417e-1,1.166147055e0,-8.650382531e-1,2.541782890e0,2.927259878e0
1.128245417e-1,1.443184040e0,-1.131230991e0,2.682415443e0,3.249279357e0
1.227955417e-1,1.635544717e0,-1.404549147e0,2.525049328e0,3.320186582e0
1.327665417e-1,1.672758882e0,-1.751897730e0,2.365619146e0,3.385767547e0
1.427375417e-1,1.658959892e0,-1.922646952e0,2.185712015e0,3.350530740e0
1.527085417e-1,1.725806431e0,-1.961242376e0,1.981938304e0,3.279170464e0
1.626795417e-1,1.910860427e0,-2.069508544e0,1.866933512e0,3.379303763e0
1.726505417e-1,1.943103729e0,-2.181549675e0,1.842728963e0,3.454049958e0
1.826215417e-1,1.883356294e0,-2.145030012e0,1.810158802e0,3.380067984e0
1.925925417e-1,1.806146881e0,-2.121834108e0,1.774074465e0,3.303284236e0
2.025635417e-1,1.605905765e0,-1.997499499e0,1.526905058e0,2.983349901e0
2.125345417e-1,1.286317569e0,-1.693212150e0,1.350708570e0,2.519125625e0
2.225055417e-1,1.060381887e0,-1.425128422e0,1.145988194e0,2.113927555e0
2.324765417e-1,1.101565728e0,-1.171834057e0,9.215808284e-1,1.853632470e0
2.424475417e-1,1.264647350e0,-9.217688164e-1,7.418888748e-1,1.731874641e0
2.524185417e-1,1.468547215e0,-6.494481960e-1,4.876946229e-1,1.678171602e0
2.623895417e-1,1.632655900e0,-4.454581377e-1,1.077963442e-1,1.695764810e0
2.723605417e-1,1.741857330e0,-3.026893044e-1,-3.411955583e-1,1.800583845e0
2.823315417e-1,1.845462829e0,-1.874064776e-1,-7.758986199e-1,2.010689660e0
2.923025417e-1,1.866310784e0,-9.288828313e-2,-1.165352418e0,2.202223974e0
3.022735417e-1,1.757891272e0,3.827090353e-2,-1.524239897e0,2.327005297e0
3.122445417e-1,1.708254844e0,1.978630534e-1,-1.776770031e0,2.472690062e0
3.222155417e-1,1.875651711e0,2.102486256e-1,-1.901755435e0,2.679355811e0
3.321865417e-1,2.061396702e0,2.404328299e-1,-1.894741116e0,2.810197182e0
3.421575417e-1,2.152102658e0,3.413660046e-1,-2.014133073e0,2.967289780e0
3.521285417e-1,2.142620521e0,4.185141680e-1,-2.290274264e0,3.164069059e0
3.621025417e-1,2.110586696e0,3.846049950e-1,-2.477807334e0,3.277503072e0
3.720735417e-1,1.891664895e0,4.466053614e-1,-2.253559012e0,2.975967179e0
3.820435417e-1,1.540835757e0,7.205167168e-1,-1.809529057e0,2.483488389e0
3.920145417e-1,1.239853986e0,8.690491506e-1,-1.205318722e0,1.935271959e0
4.019855417e-1,1.068115853e0,9.476705199e-1,-5.449312627e-1,1.528365458e0
4.119565417e-1,9.064181212e-1,1.180202592e0,3.385537863e-3,1.488114052e0
4.219275417e-1,7.578815943e-1,1.386525397e0,3.334731406e-1,1.614943195e0
4.318985417e-1,6.408846563e-1,1.589680181e0,4.899539870e-1,1.782658444e0
4.418695417e-1,6.045564902e-1,1.755787883e0,4.692788172e-1,1.915333456e0
4.518405417e-1,6.751470011e-1,1.856473136e0,4.147909534e-1,2.018506258e0
4.618115417e-1,7.447358841e-1,1.958382211e0,3.149684572e-1,2.118749053e0
4.717825417e-1,7.205620328e-1,2.103216865e0,2.578306353e-1,2.238125882e0
4.817535417e-1,6.250122432e-1,2.193376838e0,2.344827032e-1,2.292711145e0
4.917245417e-1,4.460219555e-1,2.281479467e0,2.138116264e-1,2.334480575e0
5.016955417e-1,2.125262623e-1,2.401959299e0,2.970438176e-1,2.429570109e0
5.116665417e-1,-6.827092052e-2,2.432657474e0,3.611772484e-1,2.460270779e0
5.216375417e-1,-2.892616121e-1,2.326974313e0,5.211401117e-1,2.402096741e0
5.316085417e-1,-3.528502285e-1,2.237276563e0,6.819566685e-1,2.365369866e0
5.415795417e-1,-3.166530401e-1,2.136971380e0,7.951979399e-1,2.302011205e0
5.515505417e-1,-4.339806381e-1,2.055171171e0,6.860257459e-1,2.209683023e0
5.615215417e-1,-6.629359683e-1,2.077288849e0,5.284128785e-1,2.243620563e0
5.714925417e-1,-8.283441974e-1,2.004049257e0,3.933766955e-1,2.203885832e0
5.814635417e-1,-9.592725652e-1,1.918712361e0,3.440495843e-1,2.172563254e0
5.914345417e-1,-9.276024373e-1,1.743292675e0,5.099245673e-1,2.039494716e0
6.014055417e-1,-8.407505272e-1,1.576468982e0,8.249982744e-1,1.967927349e0
6.113765417e-1,-7.045286020e-1,1.465029822e0,1.158985970e0,1.996477250e0
6.213475417e-1,-5.165143063e-1,1.287844570e0,1.557670183e0,2.086064971e0
6.313185417e-1,-2.914655739e-1,1.066368121e0,2.061006108e0,2.338768763e0
6.412895417e-1,1.724782437e-3,8.118744913e-1,2.604891304e0,2.728479773e0
6.512605417e-1,3.128425558e-1,5.138097498e-1,3.074184154e0,3.132487692e0
6.612315417e-1,5.234157018e-1,2.450033060e-1,3.438908908e0,3.487131356e0
6.712025417e-1,4.589828937e-1,1.998519838e-2,3.531259248e0,3.561019037e0
6.811735417e-1,4.102947369e-2,5.513631999e-2,3.117769884e0,3.118527294e0
6.911445417e-1,-9.328501672e-3,-3.745109466e-1,2.791560155e0,2.816585445e0
7.011155417e-1,-4.594476742e-1,-4.435276794e-1,2.209373358e0,2.299812949e0
7.110865417e-1,-7.458287287e-1,-1.428550798e-1,1.540323833e0,1.717342592e0
7.210575417e-1,-7.987474190e-1,-2.855788895e-1,1.245304322e0,1.506763284e0
7.310285417e-1,-6.756395560e-1,-2.681223196e-1,8.117724574e-1,1.089657244e0
7.409995417e-1,-2.962302507e-1,-4.900232765e-1,6.915238827e-1,8.978198335e-1
7.509705417e-1,3.219718136e-2,-5.374921426e-1,2.950317907e-1,6.139855205e-1
7.609415417e-1,4.962214713e-1,-6.407036850e-1,3.074232101e-2,8.109759866e-1
7.709125417e-1,7.981559732e-1,-9.027042621e-1,-2.274362236e-1,1.226236184e0
7.808835417e-1,8.843544569e-1,-1.008485656e0,-4.731689698e-1,1.422327317e0
