"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.434916693e-3,-1.766723930e0,1.430872142e-2,-3.356073743e0,3.792723185e0
1.640791667e-2,-1.277269880e0,1.213402498e-1,-2.742054704e0,3.027376059e0
2.638091665e-2,-4.826795391e-1,-1.552804130e-1,-1.722817188e0,1.795881568e0
3.635391669e-2,4.383311858e-1,-4.381675369e-1,-7.529810429e-1,9.752463636e-1
4.632691666e-2,1.279653790e0,-4.409604594e-1,-3.410680890e-2,1.353928810e0
5.629991670e-2,1.909744779e0,-2.830754042e-1,4.069287872e-1,1.973030117e0
6.627291668e-2,2.375436621e0,-8.704399109e-2,6.548489767e-1,2.465583700e0
7.624591666e-2,2.640194745e0,5.863003135e-2,6.828781897e-1,2.727707535e0
8.621891669e-2,2.752555134e0,4.836465955e-2,5.506802452e-1,2.807516275e0
9.619191667e-2,2.828711609e0,-3.118261635e-2,1.919488871e-1,2.835388174e0
1.061649167e-1,2.875413613e0,-3.198046893e-2,-1.305706644e-1,2.878554306e0
1.161379167e-1,2.874716333e0,5.329620123e-2,-3.451517844e-1,2.895852937e0
1.261109167e-1,2.809732717e0,1.734716856e-1,-6.826343608e-1,2.896667056e0
1.360839167e-1,2.701281484e0,3.211755690e-1,-9.727924973e-1,2.889013784e0
1.460569167e-1,2.511275627e0,5.839555800e-1,-1.027566290e0,2.775500293e0
1.560299167e-1,2.087607138e0,9.788303322e-1,-9.935004115e-1,2.510628497e0
1.660029167e-1,2.071398364e0,1.352378535e0,-7.017255199e-1,2.571388261e0
1.759759167e-1,2.312572329e0,1.267883930e0,-5.801256537e-2,2.637970033e0
1.859489167e-1,2.501010255e0,9.000200978e-1,2.939260823e-1,2.674225311e0
1.959219167e-1,2.572394233e0,6.549697217e-1,3.999109590e-1,2.684422881e0
2.058949167e-1,2.493894778e0,5.806866941e-1,5.079961556e-1,2.610511118e0
2.158679166e-1,2.397205367e0,3.435476008e-1,7.479845971e-1,2.534580731e0
